钱包地址,节点类型,当前等级,membership等级,状态,付费类型,购买金额,购买TX,金库存入(45D+),金库总存入,金库计划,是否激活金库,直推大节点,直推小节点,节点收益,经纪人收益,earnings_capacity,问题标记
0x26a491Fd9D6481c8F5f26572E8A1001763f83672,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,1,0.00,0.00,0,正常
0x9BA0a53028F3bf7bF68bFC45425AC532a9aBB0b0,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x57caf68e472267e2e3bcaa9ed7817900d68dbf7732a6809eab6a9b1a7ea20f83,0,0,-,否,0,0,0.00,0.00,0,正常
0xFa8CDe05DB3B86B9228643f4f72368e8482e2936,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x3707f8406c994131c006224bed352c3f22dbd15e081a2d93a1cf85401db0e359,0,0,-,否,0,0,0.00,0.00,0,正常
0x35136Eca39E0FD81d807fA94eBB83cF6b1504bc7,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,1,0.00,0.00,0,正常
0x3d645e87c76d8e67a812Bc343b39a116A050793A,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0x80B3D65d261114a56D0689d32BF1b171b47f5C53,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0x5250C21CE769F64b4e6a7d6Bc03Bbc028BfFe1E6,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0x54e3262408E51b1797C132E30fb3c94C6B460101,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,1,0,0.00,0.00,0,正常
0xE2b85b40c9853b1F99b168Cd078dd6052FeB72B6,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x5d662134b89111eea10b39e699686cf3c78cb09d81e1bea9d021ec6ed6db6903,0,0,-,否,0,0,0.00,0.00,0,正常
0x601a1d2406289c3Bf9024b81D7F1Fc55d2452fe7,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x3f02ef8cad84b0da6158aab925a03788a399afb8dc9aadf53dee182c7a139e7d,0,0,-,否,0,0,0.00,0.00,0,正常
0x53e4E3cB998a0889Fea692e5cCe761A2e61Da5cf,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0x150f9603433B990bA651e92FAa85cFfe075C2900,MAX,V0,-,PENDING_MILESTONES,真实付费,6600,0xf3eb6368be3fbc55669cb69d2172b07059b6f9213b12e2fcf72434178969a106,0,500,-,否,0,0,0.00,0.00,0,正常
0x62820741f652C017b99De542f02b655Fa64Baf97,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x69188993614f8ad12fcecb460229b0ffacb10ec457042b1906ceb9ec258b923d,0,0,-,否,0,0,0.00,0.00,0,正常
0xeB1963D6a10B0efc01D4ebB8419e49dC033A4362,MAX,V0,-,PENDING_MILESTONES,真实付费,6000,0x8bb801ab77ce978e416b794b26dd0f4f20bdf987ca99465d18a3c5029e644805,0,0,-,否,0,0,0.00,0.00,0,正常
